产品网址：https://en.taixin-semi.com/Solve?solveId=20
产品结构：root->珠海泰芯半导体有限公司-产品应用

|产品名称|产品型号|功能描述|
|--|--|--|
|TXW801|无|无|
|TXW802|无|无|
|TXW803|无|无|
|TXW806|无|无|
|TX8C1010|无|无|
|TX8C1260|无|无|
|TX8T3260|无|无|
|TX8T3261|无|无|
|TX8T3262|无|无|
|TX8T3263|无|无|
|TX8T3265|无|无|
|TX8M2260|无|无|
|TX32M2300(TXM2000)|无|无|
|TX8M2261|无|无|
|TX8P6010|无|无|
|TX8W7010|无|无|
|TX8W7260|无|无|
|TX8W7261|无|无|
|TX8W7011|无|无|
|TX8W7262|无|无|
|Wireless Battery Camera Set|无|无|
|Baby Monitor|无|无|
|Wall Piercing King Wireless Wi-Fi Extender|无|无|
|Wall Piercing King Bridge|无|无|
|Wireless NVR Set|无|无|
|Intelligent Doorbell|无|无|
|无线智能家居|无|可用于智能家电、智能厨具、智能热水器、智能晾衣架、智能保温杯等，支持阿里云生态、华为云、小米云，为智能家居提供高性能、低功耗、稳定的上云体验|
|低功耗智能门铃|无|信号稳定，低功耗，充电一次待机数月，智能联网，远程对讲|
|单芯片无线网桥|无|单芯片无线网桥方案，支持单点对多点，支持时间片规划，性能稳定|
|无线 Wi-Fi 摄像机|无|稳定可靠，实时高速传输，支持插电和超低功耗电池摄像机应用|
|单芯片 Wi-Fi 图传方案|无|单芯片一次过解决 Wi-Fi 和图传需求，性能稳定，性价比高|
