产品网址：https://www.awinic.com/cn/findProductsByCompetitor?productCptLoop=
产品结构：root->Awinic官网

|产品名称|产品型号|功能描述|
|--|--|--|
|车载音频功放|数字车载功放|无|
|中大功率音频功放|数字中大功率|无|
|模拟音频功放|AB 类|无|
|模拟音频功放|D 类|无|
|模拟音频功放|K 类|无|
|模拟音频功放|模拟智能 K 类|无|
|数字音频功放|数字智能 K 类|无|
|触觉反馈驱动|升压马达驱动|无|
|触觉反馈驱动|免电感升压马达驱动|无|
|触觉反馈驱动|常压马达驱动|无|
|直流电机驱动|有刷直流电机驱动|无|
|自动对焦&光学防抖|闭环对焦驱动|无|
|自动对焦&光学防抖|开环对焦驱动|无|
|自动对焦&光学防抖|光学防抖驱动|无|
|过流保护|低压限流保护 IC|无|
|过流保护|高压限流保护 IC|无|
|呼吸灯驱动|直驱型呼吸灯驱动|无|
|呼吸灯驱动|矩阵型呼吸灯驱动|无|
|闪光灯/红外灯驱动|免电感闪光灯/红外灯驱动|无|
|闪光灯/红外灯驱动|电荷泵闪光灯/红外灯驱动|无|
|闪光灯/红外灯驱动|ToF 激光二极管驱动|无|
|闪光灯/红外灯驱动|升压型闪光灯/红外灯驱动|无|
|闪光灯/红外灯驱动|降压型闪光灯/红外灯驱动|无|
|背光 LED 驱动|串联背光|无|
|背光 LED 驱动|并联背光|无|
|显示电源芯片|LCD 偏置电源|无|
|显示电源芯片|OLED 显示电源|无|
|过压保护|集成浪涌的 OVP|无|
|过压保护|双向隔离 OVP|无|
|DC/DC 转换器|Boost|无|
|DC/DC 转换器|Buck|无|
|DC/DC 转换器|升-降压型转换器|无|
|线性稳压器|低压 LDO|无|
|充电管理 IC|开关充电 IC|无|
|充电管理 IC|线性充电 IC|无|
|充电管理 IC|功率集成充电 IC|无|
|充电管理 IC|电荷泵充电 IC|无|
|功率开关|多通道负载开关|无|
|功率开关|单通道负载开关|无|
|USB 接口芯片|USB Type-C 保护|无|
|USB 接口芯片|USB 3.1 开关|无|
|USB 接口芯片|USB 2.0 开关|无|
|USB 接口芯片|PD Phy|无|
|USB 接口芯片|CC 逻辑 IC|无|
|MOSFET|MOSFET|无|
|MIPI 开关|MIPI 开关|无|
|基准&复位芯片|复位 IC|无|
|比较器|高压比较器|无|
|比较器|高速比较器|无|
|模拟开关|模拟信号开关|无|
|放大器|通用运算放大器|无|
|放大器|精密运算放大器|无|
|接口芯片|I²C 电平转换器&缓冲器|无|
|接口芯片|I²C GPIO 扩展|无|
|接口芯片|I²C 开关&多路复用器|无|
|逻辑&电平转换|电平转换|无|
|逻辑&电平转换|逻辑门|无|
|蜂窝通信低噪声放大器|LNA bank|无|
|蜂窝通信低噪声放大器|LTE LNA|无|
|无线连接低噪声放大器|Bluetooth/BLE LNA|无|
|无线连接低噪声放大器|GNSS LNA|无|
|无线连接低噪声放大器|FM LNA|无|
|射频开关|WiFi 射频开关|无|
|射频开关|UWB 射频开关|无|
|射频开关|Sub-7GHz 射频开关|无|
|射频开关|Sub-4GHz 射频开关|无|
|天线调谐开关|SPxT 天线调谐开关|无|
|天线调谐开关|x-SPST 天线调谐开关|无|
|霍尔传感器|线性霍尔|无|
|霍尔传感器|霍尔锁存器|无|
|霍尔传感器|霍尔开关|无|
|电容检测控制器|电容检测 AFE|无|
|电容检测控制器|电容检测 SoC|无|
|SAR 传感器|SAR 传感器|无|
|压力检测控制器|压力检测 AFE|无|
|压力检测控制器|压力检测 SoC|无|


